failure_description,failure_category,root_cause,action_plan
"Inconsistent batch quality","Process","Variations in the raw material moisture content","Install an inline moisture analyzer for the raw material feed"
"Historian server disk space low","IT Infrastructure","Automatic compression of old data is not working","Enable data compression and move old files to a NAS"
"Oil leakage from a pump bearing housing","Maintenance","Oil level too high causing it to leak from the seals","Adjust the oil level to the center of the sight glass"
"Vibration in a cooling water pipe","Mechanical","Lack of proper pipe supports and bracing","Install additional pipe hangers and vibration dampeners"
"Temperature transmitter reading 'Off Scale High'","Electrical","Open circuit in the RTD sensor or wiring","Check the RTD for continuity and replace if the circuit is open"
"Sudden drop in reactor pressure","Process","Rupture disk failed prematurely due to fatigue","Replace the rupture disk and investigate the pressure cycling"
"Application timeout for database queries","IT Infrastructure","Database statistics are outdated, causing poor query plans","Update the database statistics and rebuild fragmented indexes"
"Worn belts on a motor drive","Maintenance","Pulley misalignment causing side-wear on the belts","Align the pulleys and adjust the belt tension"
"Bearing failure on a screw conveyor","Mechanical","Product ingress into the bearing housing","Replace the bearing and upgrade to a triple-lip seal"
"Control signal fluctuation (4-20mA)","Electrical","Signal wire insulation damaged and touching the conduit","Identify the damaged wire section and replace it"
"Inaccurate level reading in a foaming liquid","Process","Ultrasonic sensor reflected by foam instead of liquid","Switch to a guided wave radar sensor for better foam penetration"
"Firewall blocking a new industrial protocol","IT Infrastructure","Protocol port not allowed in the security policy","Add a rule to allow the specific industrial protocol (e.g., Modbus TCP)"
"Clogged grease lines on an auto-lube system","Maintenance","Grease separated and hardened over time","Flush the lines and use a higher-quality synthetic grease"
"Broken teeth on a timing belt","Mechanical","Belt over-tightened during installation","Replace the belt and use a tension gauge for setting"
"Intermittent trip of a safety relay","Electrical","Faulty E-stop button contact block","Replace the E-stop button and verify the wiring continuity"
"Product contamination with hydraulic oil","Process","Hose rupture inside the process area","Replace the hose and install a protective sleeve"
"SCADA trends showing 'No Data' gaps","IT Infrastructure","Network congestion causing data packet loss","Optimize the network traffic and check for faulty cables"
"Valve stem leakage on a control valve","Maintenance","Worn-out stem packing due to high cycle count","Replace the packing and inspect the stem for scratches"
"High motor vibration at specific speeds","Mechanical","Resonance at the motor's natural frequency","Program a 'skip frequency' in the VFD to avoid that speed"
"Panel meter reading zero for voltage","Electrical","Blown potential transformer (PT) fuse","Replace the PT fuse and check for downstream shorts"
"Inaccurate weight from a belt scale","Process","Material buildup on the weighing idler","Clean the idler and implement a daily inspection"
"SQL Server service unable to start","IT Infrastructure","Service account password has expired","Update the service account password and set it to never expire"
"Steam leakage from a turbine casing","Maintenance","Thermal distortion of the casing over time","Perform casing machining and use a high-temperature sealant"
"Broken motor mount on a small pump","Mechanical","Vibration-induced fatigue on the cast iron mount","Replace the mount and install vibration isolation pads"
"Ground fault on a heat-tracing cable","Electrical","Cable damaged by physical impact during maintenance","Identify the fault location and repair using a splice kit"
"Inconsistent flow from a control valve","Process","Valve plug eroded by high-velocity slurry","Replace the valve trim with a hardened material like Stellite"
"HMI screen has permanent 'burn-in' images","IT Infrastructure","Screen left on the same static page for too long","Replace the HMI and configure a screen saver or auto-dim"
"Leaking seal on a rotary lobe pump","Maintenance","Abrasive particles in the fluid damaging the seal faces","Replace the seal and install a hard-face material (e.g., Tungsten Carbide)"
