failure_description,failure_category,root_cause,action_plan
"Air filter pressure drop high","Maintenance","Filters reached end of life cycle","Replace air filters and install a differential pressure switch"
"Phase failure on 3-phase motor","Electrical","Blown fuse due to short circuit in winding","Replace fuse and perform motor winding test"
"Gearbox oil seal leaking","Mechanical","Scored shaft surface at the seal contact point","Repair shaft surface and install a new oil seal"
"Unused user accounts still active","IT Infrastructure","Lack of offboarding process for former employees","Implement an automated account deactivation workflow"
"Catalyst activity loss in reactor","Process","Poisoning of catalyst by trace heavy metals","Install a pre-filter bed to capture contaminants"
"Broken spring on vibration feeder","Maintenance","Metal fatigue from millions of vibration cycles","Replace all springs and check for resonance issues"
"Control panel indicator lights flickering","Electrical","Faulty 24V DC power supply unit","Replace the power supply unit and check for wiring shorts"
"Blower motor bearing seizing","Mechanical","Incorrect grease type used for high-temperature application","Use high-temperature synthetic grease for all blower bearings"
"Cloud storage sync errors","IT Infrastructure","Clock desynchronization on local servers","Synchronize local server clocks with an NTP server"
"Inaccurate weighing on scale 4","Process","Load cell damaged by physical impact","Replace load cell and install protective guard rails"
"Cooling water pump vibrating","Maintenance","Impeller unbalanced due to partial blockage","Remove blockage and rebalance the impeller"
